Model,Task,Method,Accuracy,Macro_F1,F1_CLEAN,F1_OFFENSIVE,F1_HATE
vit5_finetune_balanced,vihsd,individual,0.8045977011494253,0.6345811051693405,0.9411764705882353,0.23529411764705882,0.7272727272727273
vit5_focal_loss_exp,vihsd,individual,0.7701149425287356,0.5277389277389277,0.8909090909090909,0.0,0.6923076923076923
visobert_labeling,vihsd,individual,0.7241379310344828,0.47749287749287744,0.8547008547008547,0.0,0.5777777777777777
Ensemble,vihsd,weighted,0.8045977011494253,0.6345811051693405,0.9411764705882353,0.23529411764705882,0.7272727272727273
Ensemble,vihsd,majority,0.7701149425287356,0.5316666666666666,0.875,0.0,0.72
